dates,Close,Adj
1/14/1985,170.51,218.5486
1/15/1985,170.81,218.9331
1/16/1985,171.19,219.4201
1/17/1985,170.73,218.8305
1/18/1985,171.32,219.5868
1/21/1985,175.23,224.5983
1/22/1985,175.48,224.9188
1/23/1985,177.3,227.2515
1/24/1985,176.71,226.4953
1/25/1985,177.35,227.3156
1/28/1985,177.4,227.3797
1/29/1985,179.18,229.6612
1/30/1985,179.39,229.9304
1/31/1985,179.63,231.0583
2/1/1985,178.63,229.772
2/4/1985,180.35,231.9844
2/5/1985,180.61,232.3189
2/6/1985,180.43,232.0873
2/7/1985,181.82,233.8753
2/8/1985,182.19,234.3512
2/11/1985,180.51,232.1902
2/12/1985,180.56,232.2546
2/13/1985,183.35,235.8433
2/14/1985,182.41,234.6342
2/15/1985,181.6,233.5923
2/19/1985,181.33,233.245
2/20/1985,181.18,233.0521
2/21/1985,180.19,231.7786
2/22/1985,179.36,230.711
2/25/1985,179.23,230.5438
2/26/1985,181.17,233.0392
2/27/1985,180.71,232.4475
2/28/1985,181.18,233.8882
3/1/1985,183.23,236.5345
3/4/1985,182.06,235.0242
3/5/1985,182.23,235.2436
3/6/1985,180.65,233.204
3/7/1985,179.51,231.7323
3/8/1985,179.1,231.203
3/11/1985,178.79,230.8029
3/12/1985,179.66,231.926
3/13/1985,178.19,230.0283
3/14/1985,177.84,229.5765
3/15/1985,176.53,227.8854
3/18/1985,176.88,228.3372
3/19/1985,179.54,231.7711
3/20/1985,179.08,231.1772
3/21/1985,179.35,231.5258
3/22/1985,179.04,231.1256
3/25/1985,177.97,229.7443
3/26/1985,178.43,230.3381
3/27/1985,179.54,231.7711
3/28/1985,179.54,231.7711
3/29/1985,180.66,234.0431
4/1/1985,181.27,234.8333
4/2/1985,180.53,233.8746
4/3/1985,179.11,232.0351
4/4/1985,179.03,231.9314
4/8/1985,178.03,230.6359
4/9/1985,178.21,230.8691
4/10/1985,179.42,232.4367
4/11/1985,180.19,233.4342
4/12/1985,180.54,233.8876
4/15/1985,180.92,234.3799
4/16/1985,181.2,234.7426
4/17/1985,181.68,235.3645
4/18/1985,180.84,234.2763
4/19/1985,181.11,234.626
4/22/1985,180.7,234.0949
4/23/1985,181.88,235.6236
4/24/1985,182.26,236.1158
4/25/1985,183.43,237.6316
4/26/1985,182.18,236.0122
4/29/1985,180.63,234.0042
4/30/1985,179.83,233.8228
5/1/1985,178.37,231.9245
5/2/1985,179.01,232.7566
5/3/1985,180.08,234.1479
5/6/1985,179.99,234.0309
5/7/1985,180.76,235.0321
5/8/1985,180.62,234.85
5/9/1985,181.92,236.5403
5/10/1985,184.28,239.6089
5/13/1985,184.61,240.038
5/14/1985,183.87,239.0758
5/15/1985,184.54,239.947
5/16/1985,185.66,241.4033
5/17/1985,187.42,243.6917
5/20/1985,189.72,246.6822
5/21/1985,189.64,246.5782
5/22/1985,188.56,245.174
5/23/1985,187.6,243.9257
5/24/1985,188.29,244.8229
5/28/1985,187.86,244.2638
5/29/1985,187.68,244.0297
5/30/1985,187.75,244.1208
5/31/1985,189.55,247.3324
6/3/1985,189.32,247.0322
6/4/1985,190.04,247.9717
6/5/1985,190.16,248.1283
6/6/1985,191.06,249.3027
6/7/1985,189.68,247.502
6/10/1985,189.51,247.2802
6/11/1985,189.04,246.6669
6/12/1985,187.61,244.801
6/13/1985,185.33,241.8259
